df18.c output data

Number of items: 
3

Positions of shelves:
1: (2, 17), (13, 42)
2: (6, 5), (12, 13)
3: (16, 43), (17, 45)
4: (15, 6), (16, 9)
5: (16, 15), (17, 16)

Shopping list:
W, D, M, 

Route: 
(16, 29)
(17, 29)
(17, 30)
(17, 29)
(16, 29)
(16, 28)
(16, 27)
(17, 27)
(16, 27)
(16, 28)
(16, 27)
(16, 26)
(15, 26)
(14, 26)
(15, 26)
(15, 25)
(14, 25)
(14, 26)
(14, 27)
(14, 28)
(14, 29)
(14, 28)
(15, 28)
(16, 28)
(17, 28)
(17, 29)
(17, 28)
(17, 29)
(16, 29)
(17, 29)
(17, 30)
(17, 29)
(16, 29)
(15, 29)
(15, 28)
(15, 27)
(15, 26)
(15, 27)
(15, 26)
(15, 27)
(14, 27)
(14, 26)
(14, 27)
(14, 28)
(14, 29)
(15, 29)
(16, 29)
(16, 30)
(16, 29)
(16, 28)
(15, 28)
(15, 29)
(15, 30)
(15, 29)
(16, 29)
(16, 30)
(15, 30)
(15, 29)
(15, 28)
(15, 29)
(16, 29)
(16, 28)
(17, 28)
(17, 29)
(17, 28)
(17, 29)
(17, 28)
(18, 28)
(19, 28)
(19, 27)
(19, 28)
(19, 27)
(18, 27)
(19, 27)
(18, 27)
(18, 28)
(17, 28)
(18, 28)
(19, 28)
(19, 27)
(19, 28)
(18, 28)
(18, 27)
(18, 28)
(18, 27)
(17, 27)
(17, 28)
(18, 28)
(18, 27)
(18, 26)
(17, 26)
(17, 25)
(17, 26)
(17, 27)
(18, 27)
(19, 27)
(18, 27)
(17, 27)
(17, 28)
(16, 28)
(17, 28)
(16, 28)
(15, 28)
(14, 28)
(14, 29)
(14, 30)
(15, 30)
(15, 29)
(14, 29)
(14, 30)
(14, 31)
(14, 30)
(14, 29)
(14, 28)
(15, 28)
(16, 28)
(16, 27)
(17, 27)
(17, 28)
(16, 28)
(16, 27)
(16, 26)
(16, 25)
(15, 25)
(14, 25)
(15, 25)
(14, 25)
(15, 25)
(15, 26)
(15, 27)
(15, 26)
(15, 25)
(14, 25)
(14, 24)
(14, 25)
(14, 26)
(15, 26)
(14, 26)
(14, 27)
(14, 28)
(14, 29)
(14, 28)
(14, 29)
(14, 30)
(14, 31)
(14, 32)
(14, 33)
